Rank,Frame,AngleDeg.lefthand_to_leftshoulder,AngleDeg.lowerback_to_rightknee,AngleDeg.leftknee_to_rightknee,AngleDeg.lefthip_to_rightknee,AngleDeg.lowerback_to_rightknee.energy,AngleDeg.leftknee_to_rightknee.energy,AngleDeg.lefthip_to_rightknee.energy,AngleDeg.lefthand_to_rightelbow,AngleDeg.lefthand_to_topback,AngleDeg.lefthand_to_midback,AngleDeg.lefthand_to_lowerback,AngleDeg.lefthand_to_tailbase,AngleDeg.leftshoulder_to_topback,AngleDeg.leftshoulder_to_midback,AngleDeg.leftshoulder_to_lowerback,AngleDeg.leftshoulder_to_tailbase,AngleDeg.righthand_to_rightelbow,AngleDeg.righthand_to_topback,AngleDeg.righthand_to_midback,AngleDeg.righthand_to_lowerback,AngleDeg.righthand_to_tailbase,AngleDeg.rightelbow_to_topback,AngleDeg.rightelbow_to_midback,AngleDeg.rightelbow_to_lowerback,AngleDeg.rightelbow_to_tailbase,AngleDeg.topback_to_midback,AngleDeg.topback_to_lowerback,AngleDeg.topback_to_tailbase,AngleDeg.midback_to_lowerback,AngleDeg.midback_to_tailbase,AngleDeg.lowerback_to_tailbase,AngleDeg.lefthand_to_leftshoulder.energy,AngleDeg.lefthand_to_rightelbow.energy,AngleDeg.lefthand_to_topback.energy,AngleDeg.lefthand_to_midback.energy,AngleDeg.lefthand_to_lowerback.energy,AngleDeg.lefthand_to_tailbase.energy,AngleDeg.leftshoulder_to_topback.energy,AngleDeg.leftshoulder_to_midback.energy,AngleDeg.leftshoulder_to_lowerback.energy,AngleDeg.leftshoulder_to_tailbase.energy,AngleDeg.righthand_to_rightelbow.energy,AngleDeg.righthand_to_topback.energy,AngleDeg.righthand_to_midback.energy,AngleDeg.righthand_to_lowerback.energy,AngleDeg.righthand_to_tailbase.energy,AngleDeg.rightelbow_to_topback.energy,AngleDeg.rightelbow_to_midback.energy,AngleDeg.rightelbow_to_lowerback.energy,AngleDeg.rightelbow_to_tailbase.energy,AngleDeg.topback_to_midback.energy,AngleDeg.topback_to_lowerback.energy,AngleDeg.topback_to_tailbase.energy,AngleDeg.midback_to_lowerback.energy,AngleDeg.midback_to_tailbase.energy,AngleDeg.lowerback_to_tailbase.energy,AngleDeg.lefthand_to_righthand,AngleDeg.leftshoulder_to_righthand,AngleDeg.leftshoulder_to_rightelbow,AngleDeg.lefthand_to_righthand.energy,AngleDeg.leftshoulder_to_righthand.energy,AngleDeg.leftshoulder_to_rightelbow.energy
0.881679389,3,131.174719,0,0,0,0,0,0,144.0622239,130.9078337,122.5318791,115.8318839,113.968939,137.5487815,133.2851502,131.5277368,131.6380458,144.0608747,130.9048955,122.5273164,115.8252535,113.9614125,133.6488142,126.8098501,122.0314106,120.9801505,133.3782482,131.6723505,131.801104,135.0121068,135.6713284,136.6662413,131.174719,144.0622239,130.9078337,122.5318791,115.8318839,113.968939,137.5487815,133.2851502,131.5277368,131.6380458,144.0608747,130.9048955,122.5273164,115.8252535,113.9614125,133.6488142,126.8098501,122.0314106,120.9801505,133.3782482,131.6723505,131.801104,135.0121068,135.6713284,136.6662413,29.73278905,28.20593233,33.28223187,29.73278905,28.20593233,33.28223187
0.881679389,4,130.6929711,0,0,0,0,0,0,142.5260994,130.4306842,123.3253105,117.4788692,116.3221325,136.8333595,133.4587345,132.588775,133.16612,142.1606077,129.662844,122.1685814,115.7590948,114.3810333,133.0467118,127.2921152,123.3421957,122.8978996,133.5516373,132.7390874,133.3338777,135.7762277,136.8241536,137.6472358,185.1687328,202.6514578,184.7945462,173.8481912,164.9797261,162.8488796,194.0181321,188.6164497,186.7600836,187.2479389,202.3936116,184.2513088,173.0263146,163.7548698,161.4627645,188.5826955,179.6775463,173.5078165,172.4531546,188.7479719,186.9686424,187.4818763,191.47703,192.6851275,193.9701602,30.47536424,29.19879019,34.92251884,42.57683138,40.59733941,48.2419867
0.881679389,5,130.486482,0,0,0,0,0,0,142.4724206,131.0364434,124.5278972,119.1727718,118.5622224,43.17654559,133.7861762,133.5162324,134.3673496,142.1347843,130.3277508,123.4629163,117.5341016,116.7327701,132.9527067,127.4266188,123.6059414,123.4822331,133.5899369,133.1807717,133.997416,136.2901,137.510254,138.3168198,226.5263375,247.721626,226.5382392,213.8466525,203.52017,201.4367349,198.7643068,231.2464184,229.5776843,230.469901,247.3165399,225.6853283,212.5586913,201.5686543,199.2404676,230.737633,220.2761082,213.0337794,212.103636,231.2402823,229.5525891,230.4447037,235.0286033,236.7205701,238.2351059,32.177895,30.96352158,35.33662309,53.36856281,51.05765012,59.79938304
0.881679389,16,138.1667931,0,0,0,0,0,0,0,135.9120242,124.4623784,123.7794613,131.6075465,137.8869799,129.2842709,131.3862435,139.365442,0,0,0,0,0,0,0,0,0,130.8518118,133.798578,141.6995068,142.0457529,149.6247609,150.1576782,230.6456967,201.5243897,229.4663182,214.958631,208.1460768,211.9159867,198.9984965,228.9637471,229.4966504,234.9692034,201.0272004,183.8417138,173.690109,164.9679759,163.4305981,188.0900043,180.1133692,174.6188019,174.2175525,229.7923143,230.7787745,236.245594,239.1383936,244.9846689,246.2227295,0,0,0,44.31889836,42.55947623,49.68157861
0.881679389,17,139.5111456,0,0,0,0,0,0,0,137.4690741,125.1477726,124.3167665,132.0238726,138.7811971,128.5804059,129.9064194,137.771711,0,0,0,0,0,0,0,0,0,130.0542635,132.2534825,140.0839139,141.8404348,149.3231681,150.0061966,235.7544155,142.4724206,233.5388065,216.0093651,212.0805578,220.9249869,200.3428411,226.1550009,227.9574677,237.6096703,142.1347843,130.3277508,123.4629163,117.5341016,116.7327701,132.9527067,127.4266188,123.6059414,123.4822331,227.7774777,230.4998071,240.1198881,242.6328424,252.1786024,253.33916,0,0,0,32.177895,30.96352158,35.33662309
0.881679389,23,32.2191927,45.66335576,45.15157686,51.99603003,45.66335576,45.15157686,51.99603003,42.97397734,32.95893336,135.6446093,135.159869,141.0317107,145.6931951,127.764452,118.7240439,120.2900976,42.96619186,32.98099168,44.33573015,135.2365425,141.1275222,32.70244279,135.0605061,133.464397,138.9602151,128.3212368,119.8165745,121.775964,135.1905587,141.0700248,144.7030686,198.9761263,42.97397734,196.1023099,222.6034785,221.4592596,233.7537009,243.9252897,222.6456796,219.6210859,229.942337,42.96619186,32.98099168,44.33573015,135.2365425,141.1275222,32.70244279,135.0605061,133.464397,138.9602151,224.727942,223.044961,233.5201031,242.0169251,254.1372257,256.8816175,135.6078281,127.6725168,130.8036405,135.6078281,127.6725168,130.8036405
0.881679389,24,33.03576259,45.44263554,44.97317258,51.33236624,64.42185331,63.72794634,73.06571674,43.56126041,34.47270502,135.39536,135.8766153,141.8794379,144.1779902,127.2267159,119.5499164,121.7107869,43.55753874,34.49911583,44.59025996,135.9410471,141.96023,34.13623341,134.9228941,134.4380526,140.1290549,128.3764346,121.6991091,124.5408627,135.8778369,141.8809668,144.8919032,146.9448799,61.19106256,145.5074053,228.8958902,228.4410279,239.6873406,247.5358976,221.4572492,212.7516367,219.6913007,61.18294554,47.72771527,62.8804282,191.7521596,200.1741352,47.27295417,190.9071179,189.4368899,197.347646,223.2956789,216.0038618,223.5247521,238.4491197,249.6565023,253.8395176,135.3511294,127.0942229,129.878831,191.5970022,180.1477534,184.3315033
0.881679389,28,140.6242998,0,0,0,64.42185331,63.72794634,73.06571674,0,139.3967229,123.2638658,115.5652186,116.2202834,141.4111391,128.6061649,124.8418013,127.7400049,0,0,0,0,0,0,0,0,0,129.3398612,126.0991004,129.233461,137.1764169,142.0539645,143.9203524,148.002134,61.19106256,147.329919,227.8713325,223.7989377,231.358753,249.0198993,221.4722061,209.6975357,213.5432792,61.18294554,47.72771527,62.8804282,191.7521596,200.1741352,47.27295417,190.9071179,189.4368899,197.347646,222.8803456,212.291469,216.8896018,235.7045674,245.3778504,250.2912494,0,0,0,191.5970022,180.1477534,184.3315033
0.881679389,29,138.6033374,0,0,0,45.44263554,44.97317258,51.33236624,147.4225782,136.958236,117.9809272,104.6550586,102.2053501,141.2933242,128.8449032,124.7911522,128.0258441,147.8622259,137.7830958,119.9950309,108.4814296,107.3993108,139.1998576,123.4833248,115.0210368,115.9935349,129.6850986,126.2982005,129.7933534,137.3109115,142.3190561,144.4070033,200.1935075,153.7237782,198.4373255,217.8196119,206.8101922,209.9591931,246.4715128,222.0972579,213.1912041,217.99459,154.1444032,142.0365111,128.0121038,173.9200645,178.0093224,143.3243971,182.8997509,176.9277505,181.908362,223.668356,216.0159525,221.4904705,236.9270823,246.0980522,250.1201993,152.2408691,26.2153369,30.33866264,203.7086411,129.7697399,133.3752045
0.881679389,30,137.068368,0,0,0,0,0,0,147.820372,139.2641581,116.8304307,103.5383649,101.4070917,36.62362229,129.1706752,126.2284305,130.1353859,147.4198167,138.587223,114.8837432,99.82458866,96.28454526,141.2281092,122.5347923,114.2625519,115.6325847,127.9931777,124.1432738,127.7182782,137.9411805,143.2156776,145.0424795,240.3618446,208.7684817,239.9656444,206.7917536,187.1582059,185.0310409,203.2294355,223.2165273,217.0067364,222.807864,208.7961691,195.4241537,166.1236946,147.4217388,144.2405131,198.2977035,173.9623719,162.1288675,163.7845988,223.4486027,217.4023252,223.2925449,238.1164107,246.8699513,250.2074566,22.49776976,21.47212566,29.83049434,153.894223,33.88651752,42.54753628
0.881679389,31,136.7990482,142.3231349,142.5700158,39.7460799,142.3231349,142.5700158,39.7460799,145.63539,138.4970523,115.3223984,98.61396529,95.04703115,36.67329766,129.2355716,125.7361594,129.754091,146.1179147,139.2254741,117.3520167,102.7017087,100.6747508,141.6707833,124.2546496,116.3341221,118.5375907,128.3858381,124.1559405,127.9348457,137.9454781,143.241311,145.3399816,238.1440788,254.5465493,239.444143,202.1586117,177.1936468,172.5203465,150.4992489,223.5797517,217.5224818,223.9686575,254.8456105,239.9465201,203.3926688,179.6686117,175.8997756,243.70595,213.7805528,199.5479833,202.1795123,222.8977384,216.2810335,222.5434742,238.5602872,247.5550792,251.0267192,155.2781496,23.23173853,31.23250656,218.6200714,41.08539576,52.78032123
0.881679389,32,137.9210067,143.7007964,143.7269796,37.80777169,202.2518074,202.4441999,54.85597933,146.1140414,139.7444379,118.5316759,104.3139428,101.7990332,36.41548397,129.5425081,125.3559546,129.4146443,146.5457266,140.3800622,120.2896697,107.7610924,106.6604766,142.0142752,124.8704043,116.602618,118.5681246,128.6069448,123.6205175,127.3398548,137.0725665,142.8013931,145.2474921,237.7475998,253.7909421,241.0486406,202.4805257,176.9923892,172.2799452,63.3427813,223.9824941,217.8469963,224.7654176,254.084036,241.4471223,203.5666351,179.2346019,175.4496406,245.3243649,214.5847412,200.4637854,203.6675115,222.2721827,214.728392,221.1215095,238.4231799,247.8326883,251.5111629,152.7209131,25.7386769,31.33328518,218.9546316,40.78290505,53.3582479
0.881679389,38,34.83651493,44.3959271,43.91388358,48.09273203,207.0671194,207.1523189,72.95265137,141.8599548,33.95002714,130.127392,123.5827354,126.2910748,34.28902523,128.985724,121.3512946,123.4257429,141.8583479,33.9511592,130.1234821,123.5750965,126.281376,33.71408403,130.9625234,125.2154746,128.3472156,128.4210746,120.2455973,121.9817095,135.358336,140.6173183,144.0922599,197.3569519,250.3661852,199.6560686,210.4332482,189.4170143,188.0064277,62.02221767,223.8758838,215.0577454,220.9483838,250.8981583,200.6065196,212.5399282,193.4706657,193.5428858,203.409205,219.506306,206.9026669,211.1458461,222.5188578,212.4987849,217.8584421,236.9382251,246.3402956,250.9643871,36.69442289,142.8804562,141.3831522,220.8652569,147.0272693,148.1433088
0.881679389,39,34.64053123,0,0,0,150.4025173,150.2859735,61.17465549,140.6753061,35.24045191,130.9382287,125.4832291,128.92478,144.0795376,128.8630632,121.4463969,123.8110607,140.6716882,35.24296751,130.9301351,125.4674631,128.9052168,35.00865149,131.7069312,126.9844294,130.7737942,129.2514718,122.2024781,124.785238,135.5418305,141.0114254,144.3857948,146.4095396,247.5138413,148.0641811,219.3803001,204.6952172,207.2053996,152.5147136,223.6610548,212.5781724,217.5114776,247.7659474,148.6650928,220.3279953,206.459056,209.618697,150.1009644,223.8091065,213.0730648,218.2502994,223.0194198,211.3633877,216.0239146,235.5469283,245.0503829,250.413001,37.96736477,141.1759182,139.7176782,161.591085,202.504183,201.226241
0.881679389,40,34.43376041,0,0,0,44.3959271,43.91388358,48.09273203,39.08249615,36.61101863,131.6564368,127.2382304,131.5457063,142.3059892,128.6884554,121.4548898,124.3392838,140.6130703,36.85207791,130.9564931,125.8706307,129.8813639,36.62044227,131.6283426,127.1831799,131.4791504,130.1207089,124.2435863,127.8701823,135.8138028,141.6725265,144.9545946,59.99360826,203.5711916,61.11350488,226.7407666,217.2747121,223.3278024,205.3914433,223.167481,210.3013416,214.5305345,244.3038073,61.26029396,226.3281333,216.4631711,222.3346791,60.85476097,227.6486742,219.0422828,225.5250762,223.8957665,211.7284064,216.3369515,234.8166433,244.3942656,250.2432249,37.95329418,140.8272337,139.572282,65.02656379,245.3115863,242.8799029
0.881679389,41,41.44177205,44.92285964,44.92335559,46.35943263,44.92285964,44.92335559,46.35943263,43.2675895,42.47849513,133.9013823,132.8823095,134.0207054,136.9377189,132.7387016,131.0211136,131.791974,43.2710291,42.48135978,133.8948488,132.8713798,134.007507,42.48182161,133.893797,132.869621,134.0053833,133.4151227,132.0868602,133.0644167,135.3993558,137.1906695,138.4698674,64.05521627,152.2795704,66.2320065,228.9275371,222.6955685,227.7881059,244.4623623,225.3574283,216.0255767,219.4505882,203.5508324,66.36873009,228.5172507,221.9015628,226.812115,66.116319,229.3475205,223.5060239,228.7924714,226.797127,218.6706497,222.7740517,234.8402913,242.438872,247.048571,43.26939341,136.0556633,136.0576895,68.95080661,241.4002758,239.8189867
0.881679389,42,144.2289992,45.45552156,45.46154092,51.34179073,63.90827614,63.91290621,69.17496996,0,141.7675781,127.6022482,120.2818261,125.2455996,142.0523917,128.3477173,121.7370947,127.1128028,0,0,0,0,0,0,0,0,0,129.8514704,124.6579369,130.7440058,136.5158489,144.3480489,147.4193251,153.964634,58.30545263,152.4560114,227.0359691,219.8067177,225.7261228,243.2731292,225.0631422,216.1891364,221.3301754,147.1204184,56.23825722,187.289705,183.0251875,186.6204185,56.08709262,187.7593392,183.9290554,187.7344127,227.1396007,220.0522861,226.1656861,235.4038054,244.3946476,248.8336716,0,0,0,57.55599834,195.8148444,194.9156658
0.881679389,43,137.3395628,45.47072812,45.64684144,47.23260839,78.43376106,78.53975881,83.76213801,131.5119628,136.6886877,132.6022691,131.5164189,132.6356892,136.8280285,132.8735442,131.9318053,133.121578,134.3817411,42.55693466,134.3771403,134.3925684,136.035952,45.64501045,46.3466907,136.2013276,139.0399865,133.2798854,132.5640067,133.8629228,135.9723741,138.0435694,139.0374171,203.4246302,138.4466708,201.4603338,227.5857546,222.3105807,226.3630618,240.1098295,227.4820393,222.2441308,226.3805283,141.1766068,60.13117841,189.6972492,188.9872112,190.954948,62.35520946,141.6882656,190.2764773,193.1050506,228.9640304,224.854966,229.6070908,235.4953271,242.3090301,245.4338301,134.6690403,134.8600922,131.9265029,141.4496052,191.5682333,189.5159546
0.881679389,44,141.6674735,47.22537266,47.87929368,53.66891453,79.7748543,80.26713275,88.01847055,113.4971557,138.6738337,122.3900492,113.4884131,118.3205438,140.7762316,127.7669421,123.8087345,131.0434651,134.3976467,37.48444833,133.4423598,134.4491624,142.4589157,47.50018879,49.81012707,139.2996841,148.9153985,129.5522604,127.127882,134.7589181,138.6805943,146.826009,148.908886,244.4050588,173.7152863,240.8573762,221.0090941,211.2910458,217.4360535,242.3194972,224.6172451,218.0699984,225.9455884,190.0557281,56.71134414,189.3781382,190.0998151,196.9779757,65.87666441,68.03722876,194.8209527,203.7349105,226.7349122,221.978187,230.5932418,237.3970741,247.891636,251.4711059,130.2052897,133.6904864,123.7829468,187.3210289,189.8957362,180.9055557
0.881679389,45,42.68845779,45.87837992,46.1000722,47.897412,80.01655256,80.63050015,86.05482995,135.3003147,43.00164561,134.5530538,135.0472021,136.9423463,136.5151487,133.2611853,132.8614451,134.3562057,135.3762743,42.99345862,134.68655,135.3182884,137.274244,42.99353548,134.6900748,135.3257667,137.2834693,133.5049576,133.2462387,134.8052155,136.2901294,138.5342814,139.4096781,201.8765291,220.1889549,199.4075501,225.0937809,220.0316684,224.3773236,239.1155423,227.4605763,224.4699703,230.0985317,233.340771,71.16610175,232.388782,233.3430498,240.0927757,78.66497955,150.898909,237.2093311,245.6718639,228.8468696,226.9124818,232.9199309,237.2673453,244.5519394,246.8609285,135.3063528,134.3874242,134.3792218,231.0778591,232.6378525,225.3543772
0.881679389,46,36.95302194,49.04421591,50.9086092,55.93772293,82.09991889,83.72174097,91.12378016,136.2655527,38.03561526,133.9088392,136.9453605,145.1328118,140.564518,128.6174165,127.0714724,135.3108257,43.70767639,38.03702201,133.9633682,137.0606122,145.2437335,38.03584511,133.9213001,136.9716015,145.1580654,129.5513424,128.7815084,137.0827473,140.1607205,148.2861026,149.9367897,152.5041092,223.06071,150.0875801,225.8659462,223.3190508,231.9838148,241.2731169,225.000833,221.6482019,231.3719933,195.7034084,68.55899937,232.1497667,234.8898207,245.4271845,74.50796965,196.3603311,237.6524453,249.1854948,226.6956378,224.7236868,234.7852034,239.6921654,250.4763307,253.1599407,136.1989961,132.7749986,132.8781017,231.9728284,231.4353607,225.9127776
0.881679389,47,36.80748641,48.12853381,50.73118028,55.52205249,82.62273674,85.38475157,92.2273779,27.71759357,38.20924224,134.5720984,137.517074,146.4149744,140.3620109,128.7057248,126.1917202,134.9528918,27.71992696,38.21056039,134.5758086,137.5265897,146.4243676,136.948522,120.3392619,110.0365888,115.2037931,129.9177013,128.4277933,137.3260939,139.2410531,148.1562413,150.0941951,67.39897117,194.0173729,68.9622777,232.692396,236.4375693,247.4956242,241.0316653,225.5352455,222.9880556,233.6084171,144.9327119,68.95867932,232.8031337,236.6647703,247.7499861,148.4926506,224.8507701,221.7709035,230.6285516,226.9046785,225.4616046,236.2680296,240.0168699,251.2584072,253.8589503,135.6728971,131.2041281,27.59095454,235.0853263,230.0080504,190.9859312
0.881679389,48,37.33763689,48.09084637,51.73516399,55.46565013,83.87145155,88.55431292,96.37512907,26.77105334,38.84837808,135.0126926,138.2058024,146.649445,139.8980412,129.3367553,126.4860152,134.5487015,26.7704459,38.84789317,135.0123235,138.2043106,146.6478975,135.7163134,119.8658241,107.7420712,111.0082712,130.6239789,128.9204359,137.1676213,138.7169455,147.1858816,149.3887417,64.14371376,141.6095164,66.45186755,232.9584814,238.2557895,252.9959239,242.9636593,223.2388848,219.2492221,233.7191811,58.27016475,66.4531472,232.9917591,238.3266787,253.0641093,196.5210953,216.2967137,206.1010053,216.0222538,225.2216315,222.9323973,237.6238456,241.4031678,256.1302868,259.4731285,44.72093995,130.1084361,26.25384822,197.3759459,227.5344559,138.2284892
0.881679389,49,43.12685117,45.84834038,46.82931818,47.43491014,82.04362002,86.27377868,91.70173039,40.9689306,43.34307554,44.89628296,136.245319,138.0752411,136.4646424,133.7266496,133.0069569,134.1917683,40.84262102,43.26282066,44.89352577,136.1263444,137.91407,135.3211047,131.849329,129.9472832,130.6975726,133.9090837,133.3247724,134.5574547,135.9381898,137.6680217,138.8306531,67.88825728,56.24417805,69.62589224,195.8411424,237.8541074,249.0144105,240.614951,226.2210792,222.7418076,233.0730931,56.15310157,69.57641397,195.8428054,237.7906138,248.9296928,235.5538511,215.0199974,201.5011196,206.583169,227.7561759,225.5873929,236.1760382,238.9762609,250.1328442,253.2177201,44.96220646,133.5037813,40.43349169,149.7621363,227.9604966,55.54631013
0.881679389,50,37.42851375,46.86552701,52.21126373,54.6074213,81.30914734,87.15232811,91.15086124,43.94089279,38.86940282,44.62608482,138.2871238,146.169532,140.8851951,130.0048762,124.4002391,130.336052,43.74564718,38.50843583,44.49843044,138.012248,145.8018377,37.52345213,135.0310964,135.1479422,142.5110074,131.1450508,126.7080749,133.0671232,136.578607,144.1016401,147.3801196,68.22695994,65.77191369,69.99035043,149.1160315,238.3001455,248.870175,240.9205238,226.9627302,221.7317797,230.430619,65.56262741,69.74044799,149.0767134,238.0718247,248.5640207,195.291394,223.5742792,216.2397202,222.9665423,228.4585102,224.6128001,233.7253179,237.4348296,247.7528014,251.6184533,45.01541139,127.4336667,132.061802,77.76856526,225.811435,140.5860994
0.881679389,51,37.55054095,46.28656456,52.09004465,52.07044985,80.2551805,87.36345834,89.12560187,44.44821556,38.63339758,44.45861056,138.3238134,144.6623679,141.6277785,131.0128439,123.9695986,127.9699596,44.22336373,38.21305356,44.23481327,138.1084894,144.3450055,36.91488015,135.8453252,135.6391314,141.3755957,131.7978687,125.7010743,130.0392626,135.6620284,141.4015733,145.480936,68.34370534,74.73218316,69.87125361,77.35458437,238.3686072,247.704471,241.9290485,227.9220259,220.3059951,226.6522175,74.41442897,69.38882291,77.15087603,238.0162118,247.2123524,145.1982067,232.5329975,231.40708,239.5376834,229.1317203,222.78059,229.6144109,235.6630928,244.3607411,249.3181755,45.03991381,126.6250897,131.0460331,77.9524285,223.8225019,190.3897307
